distinct_values,count,column_name
00747,2,LatestAgencyD_01
00748,2,LatestAgencyD_01
00750,371,LatestAgencyD_01
00755,268,LatestAgencyD_01
00756,1,LatestAgencyD_01
00757,3,LatestAgencyD_01
00758,151,LatestAgencyD_01
00760,1,LatestAgencyD_01
00761,1,LatestAgencyD_01
00763,384,LatestAgencyD_01
00766,739,LatestAgencyD_01
00767,8,LatestAgencyD_01
00768,8,LatestAgencyD_01
00772,3,LatestAgencyD_01
00773,427,LatestAgencyD_01
00774,1,LatestAgencyD_01
00777,356,LatestAgencyD_01
00778,2,LatestAgencyD_01
00779,216,LatestAgencyD_01
00784,17,LatestAgencyD_01
00786,12,LatestAgencyD_01
00789,57,LatestAgencyD_01
00794,16,LatestAgencyD_01
00796,4196,LatestAgencyD_01
00799,4442,LatestAgencyD_01
00802,951,LatestAgencyD_01
00804,320,LatestAgencyD_01
00817,254,LatestAgencyD_01
00819,736,LatestAgencyD_01
00820,123,LatestAgencyD_01
00825,161,LatestAgencyD_01
00831,246,LatestAgencyD_01
00837,291,LatestAgencyD_01
00839,383,LatestAgencyD_01
00841,139,LatestAgencyD_01
00843,286,LatestAgencyD_01
00846,240,LatestAgencyD_01
00848,192,LatestAgencyD_01
00852,142,LatestAgencyD_01
00854,117,LatestAgencyD_01
00856,90,LatestAgencyD_01
00858,132,LatestAgencyD_01
00860,215,LatestAgencyD_01
00862,284,LatestAgencyD_01
00864,227,LatestAgencyD_01
00866,92,LatestAgencyD_01
00868,331,LatestAgencyD_01
0086A,4,LatestAgencyD_01
0086E,2,LatestAgencyD_01
00870,323,LatestAgencyD_01
00872,138,LatestAgencyD_01
00874,140,LatestAgencyD_01
0088E,1,LatestAgencyD_01
008G9,4,LatestAgencyD_01
008GB,1,LatestAgencyD_01
008GC,2,LatestAgencyD_01
008L9,3,LatestAgencyD_01
008LA,4,LatestAgencyD_01
008LB,111,LatestAgencyD_01
008LC,129,LatestAgencyD_01
008LE,91,LatestAgencyD_01
008LG,56,LatestAgencyD_01
008LH,88,LatestAgencyD_01
008LJ,56,LatestAgencyD_01
008LK,161,LatestAgencyD_01
008LL,31,LatestAgencyD_01
008LM,90,LatestAgencyD_01
008LN,52,LatestAgencyD_01
008LP,65,LatestAgencyD_01
008LQ,75,LatestAgencyD_01
008LR,55,LatestAgencyD_01
008LS,21,LatestAgencyD_01
008LT,81,LatestAgencyD_01
008LW,23,LatestAgencyD_01
008LY,149,LatestAgencyD_01
008MA,106,LatestAgencyD_01
008MB,217,LatestAgencyD_01
008MC,309,LatestAgencyD_01
008ME,107,LatestAgencyD_01
008MF,102,LatestAgencyD_01
008MG,548,LatestAgencyD_01
008MH,181,LatestAgencyD_01
008MJ,152,LatestAgencyD_01
008MK,63,LatestAgencyD_01
008ML,193,LatestAgencyD_01
008MM,139,LatestAgencyD_01
008MP,109,LatestAgencyD_01
008MQ,256,LatestAgencyD_01
008MR,27,LatestAgencyD_01
008MS,260,LatestAgencyD_01
008MT,342,LatestAgencyD_01
008MW,212,LatestAgencyD_01
008MX,114,LatestAgencyD_01
008N0,203,LatestAgencyD_01
008N1,329,LatestAgencyD_01
008N2,51,LatestAgencyD_01
008N3,50,LatestAgencyD_01
008N4,222,LatestAgencyD_01
008N5,370,LatestAgencyD_01
008N6,191,LatestAgencyD_01
008N7,141,LatestAgencyD_01
008N8,47,LatestAgencyD_01
008N9,206,LatestAgencyD_01
008NA,102,LatestAgencyD_01
008NB,342,LatestAgencyD_01
008NC,111,LatestAgencyD_01
008NE,113,LatestAgencyD_01
008NF,495,LatestAgencyD_01
008NG,100,LatestAgencyD_01
008NH,100,LatestAgencyD_01
008NJ,83,LatestAgencyD_01
008NK,237,LatestAgencyD_01
008NL,200,LatestAgencyD_01
008NM,145,LatestAgencyD_01
008NN,105,LatestAgencyD_01
008NP,137,LatestAgencyD_01
008NQ,232,LatestAgencyD_01
008NR,147,LatestAgencyD_01
008NS,238,LatestAgencyD_01
008NT,143,LatestAgencyD_01
008NW,7,LatestAgencyD_01
008NX,106,LatestAgencyD_01
008NY,98,LatestAgencyD_01
008P0,93,LatestAgencyD_01
008P1,750,LatestAgencyD_01
008P2,110,LatestAgencyD_01
008P3,97,LatestAgencyD_01
008P4,97,LatestAgencyD_01
008P5,96,LatestAgencyD_01
008P6,83,LatestAgencyD_01
008P7,33,LatestAgencyD_01
008P8,63,LatestAgencyD_01
008P9,121,LatestAgencyD_01
008PA,208,LatestAgencyD_01
008PB,124,LatestAgencyD_01
008PC,164,LatestAgencyD_01
008PE,159,LatestAgencyD_01
008PF,168,LatestAgencyD_01
008PG,113,LatestAgencyD_01
008PH,19,LatestAgencyD_01
008PJ,86,LatestAgencyD_01
008PK,114,LatestAgencyD_01
008PL,50,LatestAgencyD_01
008PM,54,LatestAgencyD_01
008PN,57,LatestAgencyD_01
008PP,74,LatestAgencyD_01
008PQ,296,LatestAgencyD_01
008PR,41,LatestAgencyD_01
008PS,51,LatestAgencyD_01
008PT,128,LatestAgencyD_01
008PW,153,LatestAgencyD_01
008PX,89,LatestAgencyD_01
008PY,49,LatestAgencyD_01
008Q0,74,LatestAgencyD_01
008Q1,81,LatestAgencyD_01
008Q2,55,LatestAgencyD_01
008QG,102,LatestAgencyD_01
008RH,29,LatestAgencyD_01
008RJ,575,LatestAgencyD_01
008RK,83,LatestAgencyD_01
008RL,47,LatestAgencyD_01
008RM,117,LatestAgencyD_01
008RN,16,LatestAgencyD_01
008RP,74,LatestAgencyD_01
008RQ,86,LatestAgencyD_01
008RR,34,LatestAgencyD_01
008RS,66,LatestAgencyD_01
008RT,40,LatestAgencyD_01
008SP,1,LatestAgencyD_01
008T0,2,LatestAgencyD_01
008T1,4,LatestAgencyD_01
008T4,7,LatestAgencyD_01
008T5,13,LatestAgencyD_01
008T7,9,LatestAgencyD_01
008T8,1,LatestAgencyD_01
008TA,11,LatestAgencyD_01
008TB,1,LatestAgencyD_01
008TC,3,LatestAgencyD_01
008TF,1,LatestAgencyD_01
008TH,2,LatestAgencyD_01
008TN,2,LatestAgencyD_01
008TP,1,LatestAgencyD_01
008TQ,1,LatestAgencyD_01
008TR,2,LatestAgencyD_01
008TW,10,LatestAgencyD_01
008TY,8,LatestAgencyD_01
