distinct_values,count,column_name
1ZT,23845,LatestPolicyType_01
1ZU,2612,LatestPolicyType_01
1ZV,647,LatestPolicyType_01
1ZW,2178,LatestPolicyType_01
1ZX,201,LatestPolicyType_01
1ZY,1253,LatestPolicyType_01
1ZZ,356,LatestPolicyType_01
200,15644,LatestPolicyType_01
201,50547,LatestPolicyType_01
202,1699,LatestPolicyType_01
203,5525,LatestPolicyType_01
204,1538,LatestPolicyType_01
205,3152,LatestPolicyType_01
206,6860,LatestPolicyType_01
207,505,LatestPolicyType_01
208,6919,LatestPolicyType_01
209,716,LatestPolicyType_01
220,2326,LatestPolicyType_01
221,6,LatestPolicyType_01
222,656,LatestPolicyType_01
223,2350,LatestPolicyType_01
225,748,LatestPolicyType_01
226,6097,LatestPolicyType_01
228,3986,LatestPolicyType_01
229,4982,LatestPolicyType_01
231,3758,LatestPolicyType_01
232,83709,LatestPolicyType_01
233,4923,LatestPolicyType_01
234,68275,LatestPolicyType_01
235,1071,LatestPolicyType_01
238,8013,LatestPolicyType_01
239,92398,LatestPolicyType_01
240,6698,LatestPolicyType_01
241,59184,LatestPolicyType_01
242,777,LatestPolicyType_01
245,20702,LatestPolicyType_01
246,1288,LatestPolicyType_01
250,40787,LatestPolicyType_01
251,144164,LatestPolicyType_01
254,875,LatestPolicyType_01
255,18098,LatestPolicyType_01
256,41887,LatestPolicyType_01
257,38258,LatestPolicyType_01
260,219,LatestPolicyType_01
261,5881,LatestPolicyType_01
262,991,LatestPolicyType_01
263,17796,LatestPolicyType_01
264,2212,LatestPolicyType_01
265,4777,LatestPolicyType_01
266,1473,LatestPolicyType_01
267,3537,LatestPolicyType_01
268,3126,LatestPolicyType_01
269,899,LatestPolicyType_01
270,1411,LatestPolicyType_01
271,2796,LatestPolicyType_01
272,2562,LatestPolicyType_01
273,1266,LatestPolicyType_01
274,2212,LatestPolicyType_01
275,1430,LatestPolicyType_01
276,94,LatestPolicyType_01
277,25,LatestPolicyType_01
278,3615,LatestPolicyType_01
279,52,LatestPolicyType_01
280,715,LatestPolicyType_01
281,14721,LatestPolicyType_01
282,373,LatestPolicyType_01
283,3078,LatestPolicyType_01
284,1,LatestPolicyType_01
285,684,LatestPolicyType_01
292,1170,LatestPolicyType_01
293,30157,LatestPolicyType_01
294,30,LatestPolicyType_01
295,10652,LatestPolicyType_01
296,11,LatestPolicyType_01
297,2653,LatestPolicyType_01
300,135,LatestPolicyType_01
301,238,LatestPolicyType_01
302,932,LatestPolicyType_01
303,867,LatestPolicyType_01
310,912,LatestPolicyType_01
311,158,LatestPolicyType_01
312,38,LatestPolicyType_01
313,37,LatestPolicyType_01
314,135,LatestPolicyType_01
315,222,LatestPolicyType_01
316,373,LatestPolicyType_01
317,971,LatestPolicyType_01
318,355,LatestPolicyType_01
319,536,LatestPolicyType_01
320,18,LatestPolicyType_01
321,9,LatestPolicyType_01
322,1,LatestPolicyType_01
323,2,LatestPolicyType_01
324,7,LatestPolicyType_01
326,582,LatestPolicyType_01
327,1,LatestPolicyType_01
328,15,LatestPolicyType_01
329,1,LatestPolicyType_01
400,2715,LatestPolicyType_01
401,346,LatestPolicyType_01
402,21357,LatestPolicyType_01
403,280,LatestPolicyType_01
404,409,LatestPolicyType_01
410,15529,LatestPolicyType_01
411,101,LatestPolicyType_01
412,488,LatestPolicyType_01
413,235,LatestPolicyType_01
414,108,LatestPolicyType_01
420,6632,LatestPolicyType_01
421,2626,LatestPolicyType_01
430,269,LatestPolicyType_01
431,6,LatestPolicyType_01
432,103,LatestPolicyType_01
433,3,LatestPolicyType_01
452,481,LatestPolicyType_01
453,119,LatestPolicyType_01
454,283,LatestPolicyType_01
455,20,LatestPolicyType_01
458,1030,LatestPolicyType_01
459,536,LatestPolicyType_01
460,216,LatestPolicyType_01
461,34,LatestPolicyType_01
500,2174,LatestPolicyType_02
500.0,1,LatestPolicyType_02
501,4025,LatestPolicyType_02
501.0,4,LatestPolicyType_02
502,10,LatestPolicyType_02
502.0,1,LatestPolicyType_02
503,2,LatestPolicyType_02
504,831,LatestPolicyType_02
504.0,2,LatestPolicyType_02
505,4,LatestPolicyType_02
507,496,LatestPolicyType_02
508,7,LatestPolicyType_02
515,65,LatestPolicyType_02
516,1,LatestPolicyType_02
520,5991,LatestPolicyType_02
520.0,571,LatestPolicyType_02
522,451,LatestPolicyType_02
522.0,356,LatestPolicyType_02
524,15,LatestPolicyType_02
526,3954,LatestPolicyType_02
526.0,17,LatestPolicyType_02
528,9,LatestPolicyType_02
530,1,LatestPolicyType_02
532,13408,LatestPolicyType_02
532.0,582,LatestPolicyType_02
534,14,LatestPolicyType_02
536,1,LatestPolicyType_02
538,7155,LatestPolicyType_02
538.0,112,LatestPolicyType_02
540,27,LatestPolicyType_02
544,14974,LatestPolicyType_02
544.0,99,LatestPolicyType_02
546,150,LatestPolicyType_02
548,13,LatestPolicyType_02
550,483,LatestPolicyType_02
550.0,18,LatestPolicyType_02
553,52,LatestPolicyType_02
556,78,LatestPolicyType_02
560,18,LatestPolicyType_02
563,40,LatestPolicyType_02
566,83,LatestPolicyType_02
570,15418,LatestPolicyType_02
570.0,1,LatestPolicyType_02
571,359,LatestPolicyType_02
573,1344,LatestPolicyType_02
574,51,LatestPolicyType_02
580,3719,LatestPolicyType_02
581,35,LatestPolicyType_02
582,5,LatestPolicyType_02
583,356,LatestPolicyType_02
590,1514,LatestPolicyType_02
5A0,1018,LatestPolicyType_02
5A2,3119,LatestPolicyType_02
5AA,2894,LatestPolicyType_02
5AB,28,LatestPolicyType_02
